uf,municipio,regiao
RO,Alta Floresta D´oeste,Norte
RO,Ariquemes,Norte
RO,Cabixi,Norte
RO,Cacoal,Norte
RO,Cerejeiras,Norte
RO,Colorado do Oeste,Norte
RO,Corumbiara,Norte
RO,Costa Marques,Norte
RO,Espigão D´oeste,Norte
RO,Guajará-mirim,Norte
RO,Jaru,Norte
RO,Ji-paraná,Norte
RO,Machadinho D´oeste,Norte
RO,Nova Brasilândia D´oeste,Norte
RO,Ouro Preto do Oeste,Norte
RO,Pimenta Bueno,Norte
RO,Porto Velho,Norte
RO,Presidente Médici,Norte
RO,Rio Crespo,Norte
RO,Rolim de Moura,Norte
RO,Santa Luzia D´oeste,Norte
RO,Vilhena,Norte
RO,São Miguel do Guaporé,Norte
RO,Nova Mamoré,Norte
RO,Alvorada D´oeste,Norte
RO,Alto Alegre Dos Parecis,Norte
RO,Alto Paraíso,Norte
RO,Buritis,Norte
RO,Novo Horizonte do Oeste,Norte
RO,Cacaulândia,Norte
RO,Campo Novo de Rondônia,Norte
RO,Candeias do Jamari,Norte
RO,Castanheiras,Norte
RO,Chupinguaia,Norte
RO,Cujubim,Norte
RO,Governador Jorge Teixeira,Norte
RO,Itapuã do Oeste,Norte
RO,Ministro Andreazza,Norte
RO,Mirante da Serra,Norte
RO,Monte Negro,Norte
RO,Nova União,Norte
RO,Parecis,Norte
RO,Pimenteiras do Oeste,Norte
RO,Primavera de Rondônia,Norte
RO,São Felipe D´oeste,Norte
RO,São Francisco do Guaporé,Norte
RO,Seringueiras,Norte
RO,Teixeirópolis,Norte
RO,Theobroma,Norte
RO,Urupá,Norte
RO,Vale do Anari,Norte
RO,Vale do Paraíso,Norte
AC,Acrelândia,Norte
AC,Assis Brasil,Norte
AC,Brasiléia,Norte
AC,Bujari,Norte
AC,Capixaba,Norte
AC,Cruzeiro do Sul,Norte
AC,Epitaciolândia,Norte
AC,Feijó,Norte
AC,Jordão,Norte
AC,Mâncio Lima,Norte
AC,Manoel Urbano,Norte
AC,Marechal Thaumaturgo,Norte
AC,Plácido de Castro,Norte
AC,Porto Walter,Norte
AC,Rio Branco,Norte
AC,Rodrigues Alves,Norte
AC,Santa Rosa do Purus,Norte
AC,Senador Guiomard,Norte
AC,Sena Madureira,Norte
AC,Tarauacá,Norte
AC,Xapuri,Norte
AC,Porto Acre,Norte
AM,Alvarães,Norte
AM,Amaturá,Norte
AM,Anamã,Norte
AM,Anori,Norte
AM,Apuí,Norte
AM,Atalaia do Norte,Norte
AM,Autazes,Norte
AM,Barcelos,Norte
AM,Barreirinha,Norte
AM,Benjamin Constant,Norte
AM,Beruri,Norte
AM,Boa Vista do Ramos,Norte
AM,Boca do Acre,Norte
AM,Borba,Norte
AM,Caapiranga,Norte
AM,Canutama,Norte
AM,Carauari,Norte
